DUMP LAB | 2026-08-10_1358 UTC
Days=60 | symbols=150

================================================================
SUMMARY | DUMP v0.1_base
pump>=5.0%/6b vol>=1.7x body 4.0-9.0% risk=4% gcd=0
================================================================
Всего: 161
Wins:  34 (21.1%)
BE:    30
STOP:  97 (60.2%)
OPEN:  0
  TP2: 5
  TP1+TP2: 28
  TP1: 1
  TP1->BE: 30
  STOP: 97

Start $300.00 → Final $324.40 (+8.1%)
Total R +8.0 | Avg +0.05R | MaxDD 42.4%

--- trades ---
2026-07-11 09:45 | CAP          | body=  4.2% | TP1->BE    | 117b | +0.8R | eq=309.60
2026-07-28 01:15 | BTW          | body=  7.8% | STOP       |   1b | -1.0R | eq=304.69
2026-07-28 13:45 | SNXX         | body=  6.7% | STOP       |   1b | -1.0R | eq=298.60
2026-07-29 01:45 | KORU         | body=  5.5% | TP1->BE    |   2b | +0.8R | eq=303.38
2026-07-30 07:45 | BANK         | body=  6.5% | STOP       |   1b | -1.0R | eq=297.31
2026-07-31 13:45 | SNXX         | body=  6.7% | TP2        |   1b | +3.0R | eq=315.15
2026-08-01 02:00 | US           | body=  6.5% | STOP       |   1b | -1.0R | eq=308.85
2026-08-03 05:45 | AKE          | body=  6.1% | STOP       |   1b | -1.0R | eq=302.67
2026-08-03 19:15 | BLESS        | body=  7.8% | STOP       |   1b | -1.0R | eq=296.62
2026-08-05 22:00 | BTW          | body=  7.0% | STOP       |   1b | -1.0R | eq=290.68
2026-08-06 09:45 | COOKIE       | body=  6.0% | STOP       |   1b | -1.0R | eq=284.87
2026-08-06 20:15 | AAOI         | body=  6.7% | STOP       |   1b | -1.0R | eq=279.17
2026-08-07 02:15 | SKYAI1       | body=  7.6% | STOP       |   1b | -1.0R | eq=273.59
2026-08-07 13:45 | SNXX         | body=  6.6% | TP2        |   1b | +3.0R | eq=290.00
2026-08-08 03:30 | EPIC         | body=  5.8% | STOP       |   1b | -1.0R | eq=284.20
2026-08-09 01:30 | CYS          | body=  7.7% | STOP       |   1b | -1.0R | eq=278.52


